,DateTime,Latitude,Longitude,xco2,xco2_quality_flag,pressure_levels,Year,Month,Day
90,2014-11-01 07:41:08.020,10.668064,84.77878,396.1931,0,0.10102885,2014,11,1
91,2014-11-01 07:41:08.030,10.656867,84.78149,396.12607,1,0.10100011,2014,11,1
92,2014-11-01 07:41:08.040,10.645611,84.7841,396.49652,1,0.10057975,2014,11,1
93,2014-11-01 07:41:08.070,10.6118145,84.79133,396.13458,0,0.1010651,2014,11,1
94,2014-11-01 07:41:08.080,10.600446,84.79355,396.5208,1,0.10107487,2014,11,1
95,2014-11-01 07:41:08.310,10.697832,84.7715,396.67188,1,0.100869566,2014,11,1
96,2014-11-01 07:41:08.320,10.68673,84.7743,397.39444,1,0.10085593,2014,11,1
97,2014-11-01 07:41:08.330,10.675532,84.77702,397.939,1,0.10115871,2014,11,1
98,2014-11-01 07:41:08.340,10.664274,84.77965,398.3614,1,0.10092088,2014,11,1
99,2014-11-01 07:41:08.350,10.653073,84.78215,395.0846,1,0.100940876,2014,11,1
100,2014-11-01 07:41:08.360,10.641796,84.78457,395.52213,1,0.100730486,2014,11,1
101,2014-11-01 07:41:08.370,10.630477,84.786896,396.61795,1,0.100968495,2014,11,1
102,2014-11-01 07:41:08.380,10.619108,84.789116,395.96463,0,0.100974835,2014,11,1
103,2014-11-01 07:41:08.710,10.716495,84.76704,396.43414,1,0.1008132,2014,11,1
104,2014-11-01 07:41:08.720,10.705393,84.769844,396.27795,0,0.10095198,2014,11,1
105,2014-11-01 07:41:08.730,10.694195,84.77257,396.4373,0,0.100905575,2014,11,1
106,2014-11-01 07:41:08.740,10.682937,84.7752,397.75565,1,0.10090065,2014,11,1
107,2014-11-01 07:41:08.750,10.671736,84.77771,395.78055,0,0.1010572,2014,11,1
108,2014-11-01 07:41:08.760,10.660459,84.780136,396.29074,1,0.10100907,2014,11,1
109,2014-11-01 07:41:09.010,10.735156,84.76257,396.58698,0,0.100954816,2014,11,1
110,2014-11-01 07:41:09.030,10.712857,84.76811,396.90372,0,0.1009385,2014,11,1
111,2014-11-01 07:41:09.040,10.701599,84.770744,396.34366,1,0.10095515,2014,11,1
112,2014-11-01 07:41:09.050,10.690398,84.77326,396.31967,1,0.100869246,2014,11,1
113,2014-11-01 07:41:09.060,10.679113,84.77569,397.8948,1,0.100942455,2014,11,1
114,2014-11-01 07:41:09.070,10.667787,84.778015,396.11255,0,0.10103452,2014,11,1
115,2014-11-01 07:41:09.080,10.65641,84.78025,395.883,1,0.10087029,2014,11,1
116,2014-11-01 07:41:09.310,10.753755,84.75808,396.6395,1,0.100814275,2014,11,1
117,2014-11-01 07:41:09.320,10.742646,84.760895,395.88437,1,0.100979835,2014,11,1
118,2014-11-01 07:41:09.330,10.731441,84.763626,396.02234,1,0.10102718,2014,11,1
119,2014-11-01 07:41:09.340,10.720175,84.76626,395.7763,1,0.100831866,2014,11,1
120,2014-11-01 07:41:09.350,10.708965,84.768776,395.5529,0,0.10098018,2014,11,1
121,2014-11-01 07:41:09.360,10.69768,84.77121,395.83438,0,0.10090996,2014,11,1
122,2014-11-01 07:41:09.370,10.686353,84.773544,396.71484,1,0.10090022,2014,11,1
123,2014-11-01 07:41:09.380,10.674976,84.77578,397.0631,1,0.10112923,2014,11,1
124,2014-11-01 07:41:09.730,10.750008,84.759125,396.81323,1,0.100862466,2014,11,1
125,2014-11-01 07:41:09.740,10.738742,84.761765,396.25424,0,0.100936264,2014,11,1
126,2014-11-01 07:41:09.750,10.727532,84.76429,395.95306,0,0.10090934,2014,11,1
127,2014-11-01 07:41:09.760,10.716247,84.76673,396.3939,0,0.1007873,2014,11,1
128,2014-11-01 07:41:09.770,10.70492,84.769066,396.1808,0,0.101011194,2014,11,1
129,2014-11-01 07:41:09.780,10.6935425,84.77131,396.68613,1,0.100877315,2014,11,1
130,2014-11-01 07:41:10.050,10.746099,84.7598,397.01007,1,0.1008789,2014,11,1
131,2014-11-01 07:41:10.060,10.73481,84.762245,395.7142,0,0.10104474,2014,11,1
132,2014-11-01 07:41:10.070,10.723477,84.764595,396.25137,0,0.100919455,2014,11,1
133,2014-11-01 07:41:10.080,10.712095,84.766846,396.21365,0,0.10097003,2014,11,1
134,2014-11-01 07:41:10.310,10.80942,84.744576,397.90707,1,0.10082253,2014,11,1
135,2014-11-01 07:41:10.360,10.753322,84.75779,396.332,1,0.10087549,2014,11,1
136,2014-11-01 07:41:10.370,10.741989,84.76014,396.2666,0,0.10099717,2014,11,1
137,2014-11-01 07:41:10.380,10.730607,84.7624,396.03998,0,0.10101133,2014,11,1
138,2014-11-01 07:41:10.710,10.827932,84.7401,396.9152,1,0.10090453,2014,11,1
139,2014-11-01 07:41:10.720,10.816819,84.74293,397.6368,1,0.10087994,2014,11,1
140,2014-11-01 07:41:11.010,10.846445,84.73561,396.37064,1,0.100931644,2014,11,1
141,2014-11-01 07:41:11.020,10.835332,84.73845,396.41217,0,0.10091148,2014,11,1
142,2014-11-01 07:41:11.030,10.824122,84.74121,397.01624,1,0.10088336,2014,11,1
143,2014-11-01 07:41:11.040,10.812852,84.74387,397.5889,1,0.100760266,2014,11,1
144,2014-11-01 07:41:11.310,10.864912,84.73114,395.80164,1,0.10082863,2014,11,1
145,2014-11-01 07:41:11.320,10.853793,84.733986,396.08575,1,0.10082988,2014,11,1
146,2014-11-01 07:41:11.330,10.842577,84.73675,395.85925,1,0.10102202,2014,11,1
147,2014-11-01 07:41:11.340,10.831301,84.73942,396.4903,1,0.100853086,2014,11,1
148,2014-11-01 07:41:11.350,10.82008,84.741974,397.3897,1,0.10076899,2014,11,1
149,2014-11-01 07:41:11.710,10.883355,84.72667,396.52704,1,0.100867644,2014,11,1
150,2014-11-01 07:41:11.720,10.872236,84.72952,395.87216,1,0.100890465,2014,11,1
151,2014-11-01 07:41:11.730,10.86102,84.732285,395.66327,1,0.100981854,2014,11,1
152,2014-11-01 07:41:11.740,10.849744,84.73496,395.68713,1,0.100854956,2014,11,1
153,2014-11-01 07:41:11.750,10.838523,84.73752,395.54382,1,0.10084848,2014,11,1
154,2014-11-01 07:41:11.760,10.827225,84.73999,395.83105,1,0.10090372,2014,11,1
155,2014-11-01 07:41:12.020,10.890679,84.72505,395.78192,0,0.10083673,2014,11,1
156,2014-11-01 07:41:12.030,10.879463,84.72783,395.9735,1,0.10091193,2014,11,1
157,2014-11-01 07:41:12.040,10.868186,84.73051,395.98938,1,0.10086705,2014,11,1
158,2014-11-01 07:41:12.050,10.856965,84.73307,395.85565,0,0.100949086,2014,11,1
159,2014-11-01 07:41:12.060,10.84567,84.735535,395.28748,0,0.10090501,2014,11,1
160,2014-11-01 07:41:12.070,10.834332,84.7379,395.84167,1,0.100893475,2014,11,1
161,2014-11-01 07:41:12.080,10.822945,84.740166,397.81094,1,0.10077529,2014,11,1
162,2014-11-01 07:41:12.340,10.886658,84.72593,395.95706,1,0.10083727,2014,11,1
163,2014-11-01 07:41:12.350,10.87544,84.728485,395.6138,1,0.10086309,2014,11,1
164,2014-11-01 07:41:12.360,10.864143,84.73095,395.19165,1,0.10094769,2014,11,1
165,2014-11-01 07:41:12.370,10.852806,84.73332,395.69147,1,0.10097286,2014,11,1
166,2014-11-01 07:41:12.380,10.841418,84.735596,395.55865,0,0.100920014,2014,11,1
167,2014-11-01 07:41:12.750,10.893914,84.7239,395.9749,1,0.10045639,2014,11,1
168,2014-11-01 07:41:12.760,10.882618,84.72637,395.5055,0,0.10093734,2014,11,1
169,2014-11-01 07:41:12.770,10.87128,84.728745,395.68338,1,0.100925595,2014,11,1
170,2014-11-01 07:41:12.780,10.859891,84.731026,395.79343,0,0.10096419,2014,11,1
171,2014-11-01 07:41:13.070,10.889758,84.72417,396.1448,0,0.10078107,2014,11,1
172,2014-11-01 07:41:13.080,10.878371,84.72645,395.4581,0,0.10101989,2014,11,1
173,2014-11-01 07:41:13.310,10.97571,84.703804,397.07257,1,0.100317396,2014,11,1
174,2014-11-01 07:41:13.730,10.971888,84.70483,395.83664,1,0.100304395,2014,11,1
175,2014-11-01 07:41:14.360,10.97521,84.703415,396.1137,1,0.10030016,2014,11,1
176,2014-11-01 07:41:14.780,10.971096,84.70357,396.7064,1,0.100280076,2014,11,1
177,2014-11-01 07:41:15.010,11.068483,84.68077,395.77728,1,0.100748375,2014,11,1
178,2014-11-01 07:41:15.310,11.087136,84.67616,396.7518,1,0.1009014,2014,11,1
179,2014-11-01 07:41:15.330,11.0648365,84.68187,396.29413,1,0.10075226,2014,11,1
180,2014-11-01 07:41:15.710,11.105824,84.67156,397.06375,1,0.10088645,2014,11,1
181,2014-11-01 07:41:15.740,11.072265,84.67999,396.46255,1,0.10072569,2014,11,1
182,2014-11-01 07:41:16.010,11.124505,84.66695,395.85275,1,0.1008959,2014,11,1
183,2014-11-01 07:41:16.020,11.113403,84.669846,396.51093,1,0.10093448,2014,11,1
184,2014-11-01 07:41:16.030,11.102205,84.67267,397.14847,1,0.100893065,2014,11,1
185,2014-11-01 07:41:16.040,11.090946,84.6754,397.09772,1,0.10079235,2014,11,1
186,2014-11-01 07:41:16.330,11.120883,84.6681,395.91122,1,0.1009164,2014,11,1
187,2014-11-01 07:41:16.340,11.109623,84.67084,396.6488,1,0.10088227,2014,11,1
188,2014-11-01 07:41:16.350,11.098418,84.673454,396.68677,1,0.10084487,2014,11,1
189,2014-11-01 07:41:16.360,11.087136,84.67598,397.0926,1,0.10087161,2014,11,1
190,2014-11-01 07:41:16.370,11.075811,84.67841,395.82977,1,0.100860864,2014,11,1
191,2014-11-01 07:41:16.380,11.064436,84.68075,396.47415,1,0.10063782,2014,11,1
192,2014-11-01 07:41:16.740,11.128301,84.666275,396.26605,1,0.10066625,2014,11,1
193,2014-11-01 07:41:16.750,11.117096,84.6689,396.0205,1,0.10079865,2014,11,1
194,2014-11-01 07:41:16.760,11.105814,84.67143,396.5154,1,0.10078045,2014,11,1
195,2014-11-01 07:41:17.060,11.124486,84.66688,395.89365,1,0.10084279,2014,11,1
196,2014-11-01 07:41:17.070,11.113155,84.66931,396.4252,1,0.10086272,2014,11,1
197,2014-11-01 07:41:17.080,11.101774,84.67165,397.7064,1,0.10081474,2014,11,1
198,2014-11-01 07:41:17.310,11.199172,84.64859,397.41858,1,0.10079348,2014,11,1
199,2014-11-01 07:41:17.380,11.120386,84.667046,395.94302,1,0.10103163,2014,11,1
200,2014-11-01 07:41:17.710,11.217786,84.64394,395.733,0,0.10083637,2014,11,1
201,2014-11-01 07:41:17.720,11.206679,84.646866,396.99704,1,0.10082624,2014,11,1
202,2014-11-01 07:41:17.730,11.195476,84.64971,398.31015,1,0.10080696,2014,11,1
203,2014-11-01 07:41:18.010,11.236399,84.6393,395.82138,1,0.100758046,2014,11,1
204,2014-11-01 07:41:18.020,11.225292,84.64223,395.44818,1,0.10060089,2014,11,1
205,2014-11-01 07:41:18.030,11.214088,84.64508,395.941,1,0.101019174,2014,11,1
206,2014-11-01 07:41:18.040,11.202823,84.647835,397.03958,1,0.10080612,2014,11,1
207,2014-11-01 07:41:18.310,11.255005,84.634674,396.42633,1,0.10086526,2014,11,1
208,2014-11-01 07:41:18.320,11.243897,84.63761,396.6703,1,0.10077437,2014,11,1
209,2014-11-01 07:41:18.330,11.232693,84.64047,395.9119,0,0.10060305,2014,11,1
210,2014-11-01 07:41:18.340,11.221426,84.643234,395.74722,1,0.10077798,2014,11,1
211,2014-11-01 07:41:18.350,11.210215,84.64588,395.6764,0,0.10091105,2014,11,1
212,2014-11-01 07:41:18.360,11.198926,84.64844,396.53705,1,0.10082373,2014,11,1
213,2014-11-01 07:41:18.710,11.273608,84.630066,396.42892,1,0.10089151,2014,11,1
214,2014-11-01 07:41:18.720,11.262501,84.63301,395.86453,1,0.10098004,2014,11,1
215,2014-11-01 07:41:18.730,11.251296,84.63587,396.4137,1,0.10084523,2014,11,1
216,2014-11-01 07:41:18.740,11.240029,84.63863,396.48734,0,0.10075182,2014,11,1
217,2014-11-01 07:41:18.750,11.228817,84.64129,395.94104,1,0.10055586,2014,11,1
218,2014-11-01 07:41:18.760,11.217528,84.643845,395.9877,0,0.10081514,2014,11,1
219,2014-11-01 07:41:18.770,11.206196,84.64631,396.15216,1,0.101013936,2014,11,1
220,2014-11-01 07:41:18.780,11.194812,84.64868,397.61148,1,0.10079798,2014,11,1
221,2014-11-01 07:41:19.010,11.292211,84.62546,395.9675,1,0.10074357,2014,11,1
222,2014-11-01 07:41:19.020,11.281103,84.6284,396.14087,1,0.10078793,2014,11,1
223,2014-11-01 07:41:19.030,11.269898,84.63127,396.65082,1,0.10093582,2014,11,1
224,2014-11-01 07:41:19.040,11.258632,84.63404,396.2627,0,0.10092906,2014,11,1
225,2014-11-01 07:41:19.050,11.247419,84.636696,395.44128,1,0.10081759,2014,11,1
226,2014-11-01 07:41:19.060,11.23613,84.63927,396.2293,0,0.10068394,2014,11,1
227,2014-11-01 07:41:19.070,11.224795,84.64173,395.83868,0,0.10070164,2014,11,1
228,2014-11-01 07:41:19.080,11.21341,84.644104,395.73657,1,0.10097754,2014,11,1
229,2014-11-01 07:41:19.310,11.310805,84.62085,395.86877,1,0.10043839,2014,11,1
230,2014-11-01 07:41:19.320,11.299698,84.6238,395.56818,1,0.10055683,2014,11,1
231,2014-11-01 07:41:19.330,11.288492,84.62667,395.9855,1,0.10082103,2014,11,1
232,2014-11-01 07:41:19.340,11.277224,84.629456,396.11697,1,0.10079749,2014,11,1
233,2014-11-01 07:41:19.350,11.266011,84.63211,396.18256,1,0.10101698,2014,11,1
234,2014-11-01 07:41:19.360,11.254721,84.63468,395.62045,0,0.10100523,2014,11,1
235,2014-11-01 07:41:19.370,11.243386,84.63716,396.52704,0,0.100814134,2014,11,1
236,2014-11-01 07:41:19.380,11.232001,84.63954,395.8516,0,0.10085629,2014,11,1
237,2014-11-01 07:41:19.710,11.329397,84.61625,396.8062,1,0.10093905,2014,11,1
238,2014-11-01 07:41:19.720,11.318289,84.6192,396.2792,0,0.10073002,2014,11,1
239,2014-11-01 07:41:19.730,11.307083,84.62208,395.3312,1,0.1005762,2014,11,1
240,2014-11-01 07:41:19.740,11.295815,84.62486,395.6019,1,0.10079804,2014,11,1
241,2014-11-01 07:41:19.750,11.284602,84.62753,396.20444,1,0.10081112,2014,11,1
242,2014-11-01 07:41:19.760,11.273312,84.630104,396.54398,1,0.10079521,2014,11,1
243,2014-11-01 07:41:19.770,11.261977,84.63258,395.7604,0,0.10099605,2014,11,1
244,2014-11-01 07:41:19.780,11.250591,84.63497,395.904,0,0.10093018,2014,11,1
245,2014-11-01 07:41:20.020,11.336881,84.61461,394.97464,1,0.100406714,2014,11,1
246,2014-11-01 07:41:20.030,11.325674,84.61749,396.81967,1,0.10089669,2014,11,1
247,2014-11-01 07:41:20.040,11.314406,84.62028,395.2288,0,0.10053421,2014,11,1
248,2014-11-01 07:41:20.050,11.303193,84.62295,395.8684,1,0.10064282,2014,11,1
249,2014-11-01 07:41:20.060,11.291907,84.625534,396.05896,1,0.100886256,2014,11,1
250,2014-11-01 07:41:20.070,11.280579,84.62802,396.10666,1,0.100850314,2014,11,1
251,2014-11-01 07:41:20.080,11.269198,84.63042,396.6121,1,0.10090117,2014,11,1
252,2014-11-01 07:41:20.340,11.333063,84.61574,396.03143,1,0.10067744,2014,11,1
253,2014-11-01 07:41:20.350,11.321856,84.618416,396.11786,0,0.100863494,2014,11,1
254,2014-11-01 07:41:20.360,11.310571,84.621,395.4176,1,0.10057814,2014,11,1
255,2014-11-01 07:41:20.370,11.299241,84.6235,394.9401,1,0.101019554,2014,11,1
256,2014-11-01 07:41:20.380,11.287861,84.62589,395.7754,1,0.10097448,2014,11,1
257,2014-11-01 07:41:20.760,11.329233,84.61648,396.71066,1,0.100799784,2014,11,1
258,2014-11-01 07:41:20.770,11.317904,84.61897,395.43927,1,0.1007528,2014,11,1
259,2014-11-01 07:41:20.780,11.306523,84.621376,395.1542,1,0.10069391,2014,11,1
260,2014-11-01 07:41:21.020,11.392852,84.60095,397.22473,1,0.10083537,2014,11,1
261,2014-11-01 07:41:21.070,11.336555,84.614456,394.63513,0,0.100247845,2014,11,1
262,2014-11-01 07:41:21.080,11.325167,84.61686,397.3755,1,0.10083775,2014,11,1
263,2014-11-01 07:41:21.330,11.400247,84.59932,396.4212,1,0.10070595,2014,11,1
264,2014-11-01 07:41:21.340,11.388978,84.60213,397.67975,1,0.100724265,2014,11,1
